"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"5944","NP_036421","Q14145","reviewed","KEAP1_HUMAN","Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)","KEAP1 INRF2 KIAA0132 KLHL19","Homo sapiens (Human)",624
"5945","NP_998734","O76041","reviewed","NEBL_HUMAN","Nebulette (Actin-binding Z-disk protein)","NEBL C10orf113 LNEBL","Homo sapiens (Human)",1014
"5946","NP_998734","Q59FZ8","unreviewed","Q59FZ8_HUMAN","Nebulette non-muscle isoform variant","","Homo sapiens (Human)",345
"5947","NP_006139","Q14847","reviewed","LASP1_HUMAN","LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)","LASP1 MLN50","Homo sapiens (Human)",261
"5948","NP_006384","O76041","reviewed","NEBL_HUMAN","Nebulette (Actin-binding Z-disk protein)","NEBL C10orf113 LNEBL","Homo sapiens (Human)",1014
"5949","NP_006384","Q59FZ8","unreviewed","Q59FZ8_HUMAN","Nebulette non-muscle isoform variant","","Homo sapiens (Human)",345
"5950","NP_001258537","Q14847","reviewed","LASP1_HUMAN","LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)","LASP1 MLN50","Homo sapiens (Human)",261
"5951","NP_001258537","B4DIC4","unreviewed","B4DIC4_HUMAN","cDNA FLJ52195, highly similar to LIM and SH3 domain protein 1","","Homo sapiens (Human)",125
"5952","NP_001120675","Q5JVF3","reviewed","PCID2_HUMAN","PCI domain-containing protein 2 (CSN12-like protein)","PCID2 HT004","Homo sapiens (Human)",399
"5953","NP_078930","Q5SY16","reviewed","NOL9_HUMAN","Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9)","NOL9","Homo sapiens (Human)",702
"5954","NP_006828","Q92905","reviewed","CSN5_HUMAN","COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)","COPS5 CSN5 JAB1","Homo sapiens (Human)",334
"5955","NP_006828","A0A024R7W9","unreviewed","A0A024R7W9_HUMAN","COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis), isoform CRA_a (Testis secretory sperm-binding protein Li 231m)","COPS5 hCG_27806","Homo sapiens (Human)",334
"5956","NP_008921","Q9Y6W5","reviewed","WASF2_HUMAN","Actin-binding protein WASF2 (Protein WAVE-2) (Verprolin homology domain-containing protein 2) (Wiskott-Aldrich syndrome protein family member 2) (WASP family protein member 2)","WASF2 WAVE2","Homo sapiens (Human)",498
"5957","NP_006637","Q9UPY6","reviewed","WASF3_HUMAN","Actin-binding protein WASF3 (Protein WAVE-3) (Verprolin homology domain-containing protein 3) (Wiskott-Aldrich syndrome protein family member 3) (WASP family protein member 3)","WASF3 KIAA0900 SCAR3 WAVE3","Homo sapiens (Human)",502
"5958","NP_006637","Q5T8P4","unreviewed","Q5T8P4_HUMAN","Wiskott-Aldrich syndrome protein family member (WASP family protein member)","WASF3 hCG_29938","Homo sapiens (Human)",502
"5959","NP_003790","O43148","reviewed","MCES_HUMAN","mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)","RNMT KIAA0398","Homo sapiens (Human)",476
"5960","NP_536350","P63092","reviewed","GNAS2_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)","GNAS GNAS1 GSP","Homo sapiens (Human)",394
"5961","NP_536350","Q5JWF2","reviewed","GNAS1_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)","GNAS GNAS1","Homo sapiens (Human)",1037
"5962","NP_001095856","A8MTJ3","reviewed","GNAT3_HUMAN","Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)","GNAT3","Homo sapiens (Human)",354
"5963","NP_892023","P38405","reviewed","GNAL_HUMAN","Guanine nucleotide-binding protein G(olf) subunit alpha (Adenylate cyclase-stimulating G alpha protein, olfactory type)","GNAL","Homo sapiens (Human)",381
"5964","NP_005263","P19087","reviewed","GNAT2_HUMAN","Guanine nucleotide-binding protein G(t) subunit alpha-2 (Transducin alpha-2 chain)","GNAT2 GNATC","Homo sapiens (Human)",354
"5965","NP_005263","Q5T697","unreviewed","Q5T697_HUMAN","Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2 (Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2, isoform CRA_a)","GNAT2 hCG_40256","Homo sapiens (Human)",354
"5966","NP_000163","P11488","reviewed","GNAT1_HUMAN","Guanine nucleotide-binding protein G(t) subunit alpha-1 (Transducin alpha-1 chain)","GNAT1 GNATR","Homo sapiens (Human)",350
"5967","NP_056994","O95876","reviewed","FRITZ_HUMAN","WD repeat-containing and planar cell polarity effector protein fritz homolog (hFRTZ) (Bardet-Biedl syndrome 15 protein) (WD repeat-containing and planar cell polarity effector protein)","WDPCP BBS15 C2orf86 FRITZ","Homo sapiens (Human)",746
"5968","NP_536351","O95467","reviewed","GNAS3_HUMAN","Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]","GNAS GNAS1","Homo sapiens (Human)",245
"5969","NP_536351","P63092","reviewed","GNAS2_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)","GNAS GNAS1 GSP","Homo sapiens (Human)",394
"5970","NP_536351","A0A0S2Z3S5","unreviewed","A0A0S2Z3S5_HUMAN","GNAS complex locus isoform 2","GNAS","Homo sapiens (Human)",380
"5971","NP_536351","Q5FWY2","unreviewed","Q5FWY2_HUMAN","GNAS complex locus","GNAS","Homo sapiens (Human)",380
"5972","NP_001070957","O95467","reviewed","GNAS3_HUMAN","Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]","GNAS GNAS1","Homo sapiens (Human)",245
"5973","NP_001070957","P63092","reviewed","GNAS2_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)","GNAS GNAS1 GSP","Homo sapiens (Human)",394
"5974","NP_001070957","Q5FWY2","unreviewed","Q5FWY2_HUMAN","GNAS complex locus","GNAS","Homo sapiens (Human)",380
"5975","NP_006563","Q14344","reviewed","GNA13_HUMAN","Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)","GNA13","Homo sapiens (Human)",377
"5976","NP_002061","P04899","reviewed","GNAI2_HUMAN","Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)","GNAI2 GNAI2B","Homo sapiens (Human)",355
"5977","NP_002061","B3KP24","unreviewed","B3KP24_HUMAN","cDNA FLJ31012 fis, clone HLUNG2000217, highly similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit","","Homo sapiens (Human)",274
"5978","NP_006487","P08754","reviewed","GNAI3_HUMAN","Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3)","GNAI3","Homo sapiens (Human)",354
"5979","NP_002060","P63096","reviewed","GNAI1_HUMAN","Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)","GNAI1","Homo sapiens (Human)",354
"5980","NP_031379","Q03113","reviewed","GNA12_HUMAN","Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12)","GNA12","Homo sapiens (Human)",381
"5981","NP_031379","Q6ZQV4","unreviewed","Q6ZQV4_HUMAN","cDNA FLJ46868 fis, clone UTERU3012414, highly similar to Guanine nucleotide-binding protein, alpha-12 subunit","","Homo sapiens (Human)",233
"5982","NP_620073","P09471","reviewed","GNAO_HUMAN","Guanine nucleotide-binding protein G(o) subunit alpha","GNAO1","Homo sapiens (Human)",354
"5983","NP_620073","B3KP89","unreviewed","B3KP89_HUMAN","cDNA FLJ31446 fis, clone NT2NE2000909, highly similar to Guanine nucleotide-binding protein G(o) subunit alpha 1","","Homo sapiens (Human)",354
"5984","NP_620073","Q6AWC5","unreviewed","Q6AWC5_HUMAN","Uncharacterized protein DKFZp686O0962","DKFZp686O0962","Homo sapiens (Human)",113
"5985","NP_620073","Q8N6I9","unreviewed","Q8N6I9_HUMAN","GNAO1 protein","GNAO1","Homo sapiens (Human)",302
"5986","NP_001035997","Q13057","reviewed","COASY_HUMAN","Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]","COASY PSEC0106","Homo sapiens (Human)",564
"5987","NP_891552","Q7Z4Q2","reviewed","HEAT3_HUMAN","HEAT repeat-containing protein 3","HEATR3","Homo sapiens (Human)",680
"5988","NP_057058","Q9Y2S2","reviewed","CRYL1_HUMAN","Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)","CRYL1 CRY","Homo sapiens (Human)",319
"5989","NP_057058","V9HWG2","unreviewed","V9HWG2_HUMAN","Epididymis luminal protein 30 (Testicular tissue protein Li 44)","HEL30","Homo sapiens (Human)",319
"5990","NP_060586","Q9BUK6","reviewed","MSTO1_HUMAN","Protein misato homolog 1","MSTO1 LST005 SLTP005","Homo sapiens (Human)",570
"5991","NP_001243461","Q9BUK6","reviewed","MSTO1_HUMAN","Protein misato homolog 1","MSTO1 LST005 SLTP005","Homo sapiens (Human)",570
"5992","NP_060640","Q96P16","reviewed","RPR1A_HUMAN","Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)","RPRD1A P15RS","Homo sapiens (Human)",312
"5993","NP_067038","Q9NQG5","reviewed","RPR1B_HUMAN","Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)","RPRD1B C20orf77 CREPT","Homo sapiens (Human)",326
"5994","NP_113626","Q9BQG2","reviewed","NUD12_HUMAN","NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)","NUDT12","Homo sapiens (Human)",462
"5995","NP_065949","Q9P1Z2","reviewed","CACO1_HUMAN","Calcium-binding and coiled-coil domain-containing protein 1 (Calphoglin) (Coiled-coil coactivator protein) (Sarcoma antigen NY-SAR-3)","CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996","Homo sapiens (Human)",691
"5996","NP_071908","Q6DKJ4","reviewed","NXN_HUMAN","Nucleoredoxin (EC 1.8.1.8)","NXN NRX","Homo sapiens (Human)",435
"5997","NP_006539","Q9Y6M1","reviewed","IF2B2_HUMAN","Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)","IGF2BP2 IMP2 VICKZ2","Homo sapiens (Human)",599
"5998","NP_006538","O00425","reviewed","IF2B3_HUMAN","Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)","IGF2BP3 IMP3 KOC1 VICKZ3","Homo sapiens (Human)",579
"5999","NP_006537","Q9NZI8","reviewed","IF2B1_HUMAN","Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)","IGF2BP1 CRDBP VICKZ1 ZBP1","Homo sapiens (Human)",577
"6000","NP_036519","Q9UM07","reviewed","PADI4_HUMAN","Protein-arginine deiminase type-4 (EC 3.5.3.15) (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV)","PADI4 PAD4 PADI5 PDI5","Homo sapiens (Human)",663
"6001","NP_057317","Q9ULW8","reviewed","PADI3_HUMAN","Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)","PADI3 PAD3 PDI3","Homo sapiens (Human)",664
"6002","NP_847884","Q5EBL4","reviewed","RIPL1_HUMAN","RILP-like protein 1 (Rab-interacting lysosomal-like protein 1)","RILPL1 RLP1","Homo sapiens (Human)",403
"6003","NP_115796","Q08174","reviewed","PCDH1_HUMAN","Protocadherin-1 (Cadherin-like protein 1) (Protocadherin-42) (PC42)","PCDH1","Homo sapiens (Human)",1060
"6004","NP_115796","B4E2D8","unreviewed","B4E2D8_HUMAN","cDNA FLJ59655, highly similar to Protocadherin-1","","Homo sapiens (Human)",1038
"6005","NP_003360","Q9P2Y5","reviewed","UVRAG_HUMAN","UV radiation resistance-associated gene protein (p63)","UVRAG","Homo sapiens (Human)",699
"6006","NP_001279","O00299","reviewed","CLIC1_HUMAN","Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)","CLIC1 G6 NCC27","Homo sapiens (Human)",241
"6007","NP_001279","Q5SRT3","unreviewed","Q5SRT3_HUMAN","Chloride intracellular channel protein","CLIC1 hCG_2005611","Homo sapiens (Human)",241
"6008","NP_001076437","Q6ZVM7","reviewed","TM1L2_HUMAN","TOM1-like protein 2 (Target of Myb-like protein 2)","TOM1L2","Homo sapiens (Human)",507
"6009","NP_057327","Q9UHQ9","reviewed","NB5R1_HUMAN","NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)","CYB5R1 NQO3A2 UNQ3049/PRO9865","Homo sapiens (Human)",305
"6010","NP_057452","Q9NPH2","reviewed","INO1_HUMAN","Inositol-3-phosphate synthase 1 (IPS 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase) (hIPS) (Myo-inositol 1-phosphate synthase A1) (hINO1)","ISYNA1 INO1","Homo sapiens (Human)",558
"6011","NP_057452","A0A140VK73","unreviewed","A0A140VK73_HUMAN","Inositol-3-phosphate synthase 1 (EC 5.5.1.4)","","Homo sapiens (Human)",558
"6012","NP_002991","P21912","reviewed","SDHB_HUMAN","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)","SDHB SDH SDH1","Homo sapiens (Human)",280
"6013","NP_976325","P32189","reviewed","GLPK_HUMAN","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Homo sapiens (Human)",559
"6014","NP_976325","B4DH54","unreviewed","B4DH54_HUMAN","glycerol kinase (EC 2.7.1.30)","","Homo sapiens (Human)",354
"6015","NP_149991","Q14410","reviewed","GLPK2_HUMAN","Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)","GK2 GKP2 GKTA","Homo sapiens (Human)",553
"6016","NP_149991","A0A140VKG0","unreviewed","A0A140VKG0_HUMAN","glycerol kinase (EC 2.7.1.30)","","Homo sapiens (Human)",553
"6017","NP_001165131","P00387","reviewed","NB5R3_HUMAN","NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)","CYB5R3 DIA1","Homo sapiens (Human)",301
"6018","NP_037390","Q9ULZ3","reviewed","ASC_HUMAN","Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1)","PYCARD ASC CARD5 TMS1","Homo sapiens (Human)",195
"6019","NP_660183","Q9ULZ3","reviewed","ASC_HUMAN","Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1)","PYCARD ASC CARD5 TMS1","Homo sapiens (Human)",195
"6020","NP_006222","Q07864","reviewed","DPOE1_HUMAN","DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)","POLE POLE1","Homo sapiens (Human)",2286
"6021","NP_002906","P40938","reviewed","RFC3_HUMAN","Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38)","RFC3","Homo sapiens (Human)",356
"6022","NP_005350","Q13485","reviewed","SMAD4_HUMAN","Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)","SMAD4 DPC4 MADH4","Homo sapiens (Human)",552
"6023","NP_005350","A0A024R274","unreviewed","A0A024R274_HUMAN","Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)","SMAD4","Homo sapiens (Human)",552
"6024","NP_006308","P80723","reviewed","BASP1_HUMAN","Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)","BASP1 NAP22","Homo sapiens (Human)",227
"6025","NP_006532","O76003","reviewed","GLRX3_HUMAN","Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)","GLRX3 PICOT TXNL2 HUSSY-22","Homo sapiens (Human)",335
"6026","NP_006532","A0A140VJK1","unreviewed","A0A140VJK1_HUMAN","Testicular tissue protein Li 75","","Homo sapiens (Human)",335
"6027","NP_062539","Q9NPB8","reviewed","GPCP1_HUMAN","Glycerophosphocholine phosphodiesterase GPCPD1 (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 5)","GPCPD1 GDE5 KIAA1434","Homo sapiens (Human)",672
"6028","NP_001731","P22676","reviewed","CALB2_HUMAN","Calretinin (CR) (29 kDa calbindin)","CALB2 CAB29","Homo sapiens (Human)",271
"6029","NP_001731","A0A140VK08","unreviewed","A0A140VK08_HUMAN","Calretinin","","Homo sapiens (Human)",271
"6030","NP_004920","P05937","reviewed","CALB1_HUMAN","Calbindin (Calbindin D28) (D-28K) (Vitamin D-dependent calcium-binding protein, avian-type)","CALB1 CAB27","Homo sapiens (Human)",261
"6031","NP_689588","Q5VTJ3","reviewed","KLD7A_HUMAN","Kelch domain-containing protein 7A","KLHDC7A","Homo sapiens (Human)",777
"6032","NP_065952","Q9P1Y6","reviewed","PHRF1_HUMAN","PHD and RING finger domain-containing protein 1","PHRF1 KIAA1542","Homo sapiens (Human)",1649
"6033","NP_060498","Q5PRF9","reviewed","SMAG2_HUMAN","Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B)","SAMD4B SMAUG2","Homo sapiens (Human)",694
"6034","NP_056404","Q9UPU9","reviewed","SMAG1_HUMAN","Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)","SAMD4A KIAA1053 SAMD4 SMAUG1","Homo sapiens (Human)",718
"6035","NP_077748","Q9H939","reviewed","PPIP2_HUMAN","Proline-serine-threonine phosphatase-interacting protein 2 (PEST phosphatase-interacting protein 2)","PSTPIP2","Homo sapiens (Human)",334
"6036","NP_077748","A0A0S2Z4R2","unreviewed","A0A0S2Z4R2_HUMAN","Proline-serine-threonine phosphatase interacting protein 2 isoform 2 (Proline-serine-threonine phosphatase interacting protein 2, isoform CRA_b)","PSTPIP2 hCG_24029","Homo sapiens (Human)",334
"6037","NP_006266","Q13247","reviewed","SRSF6_HUMAN","Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)","SRSF6 SFRS6 SRP55","Homo sapiens (Human)",344
"6038","NP_005617","Q08170","reviewed","SRSF4_HUMAN","Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)","SRSF4 SFRS4 SRP75","Homo sapiens (Human)",494
"6039","NP_001034554","Q13243","reviewed","SRSF5_HUMAN","Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)","SRSF5 HRS SFRS5 SRP40","Homo sapiens (Human)",272
"6040","NP_001372","Q99704","reviewed","DOK1_HUMAN","Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62)","DOK1","Homo sapiens (Human)",481
"6041","NP_001372","B3KP83","unreviewed","B3KP83_HUMAN","cDNA FLJ31382 fis, clone NHNPC2000187, highly similar to Docking protein 1 (Downstream of tyrosine kinase 1)","","Homo sapiens (Human)",481
"6042","NP_536739","Q9UQC2","reviewed","GAB2_HUMAN","GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100)","GAB2 KIAA0571","Homo sapiens (Human)",676
"6043","NP_006627","P13995","reviewed","MTDC_HUMAN","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]","MTHFD2 NMDMC","Homo sapiens (Human)",350
"6044","NP_001935","P32926","reviewed","DSG3_HUMAN","Desmoglein-3 (130 kDa pemphigus vulgaris antigen) (PVA) (Cadherin family member 6)","DSG3 CDHF6","Homo sapiens (Human)",999
"6045","NP_573571","Q8TF74","reviewed","WIPF2_HUMAN","WAS/WASL-interacting protein family member 2 (WASP-interacting protein-related protein) (WIP- and CR16-homologous protein) (WIP-related protein)","WIPF2 WICH WIRE PP10631","Homo sapiens (Human)",440
"6046","NP_001136022","O94967","reviewed","WDR47_HUMAN","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)","WDR47 KIAA0893","Homo sapiens (Human)",919
"6047","NP_009106","O94905","reviewed","ERLN2_HUMAN","Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)","ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924","Homo sapiens (Human)",339
